code,name,market,rs_rating,mom_trend,rsi14_3d,ret_3d_pct
6224,聚鼎,TWSE,87,加速,66→69→71,18.8
6944,兆聯實業,TWSE,46,維持,46→52→53,2.9
6472,保瑞,TWSE,2,維持,42→43→41,2.0
2385,群光,TWSE,21,加速,53→55→57,5.6
2645,長榮航太,TWSE,8,維持,45→58→55,5.6
4961,天鈺,TWSE,30,加速,59→65→61,5.1
6449,鈺邦,TWSE,76,加速,75→79→80,24.9
2436,偉詮電,TWSE,42,加速,52→57→61,11.7
6426,統新,TWSE,57,維持,52→59→60,6.1
2338,光罩,TWSE,48,加速,53→59→62,11.8
6191,精成科,TWSE,6,維持,44→46→49,4.3
2413,環科,TWSE,18,加速,56→60→61,3.1
2002,中鋼,TWSE,5,維持,32→35→34,-0.3
2543,皇昌,TWSE,2,維持,38→50→47,17.9
6166,凌華,TWSE,86,加速,85→86→89,11.9
8081,致新,TWSE,28,加速,62→62→65,5.9
2478,大毅,TWSE,81,加速,85→88→90,32.4
4960,誠美材,TWSE,94,維持,47→53→52,3.6
3031,佰鴻,TWSE,71,加速,55→65→66,18.0
6206,飛捷,TWSE,59,加速,68→73→75,8.1
2610,華航,TWSE,5,維持,45→55→52,0.8
3708,上緯投控,TWSE,21,加速,50→59→58,9.1
1477,聚陽,TWSE,2,維持,40→45→47,4.3
2374,佳能,TWSE,16,加速,53→57→62,4.4
3704,合勤控,TWSE,45,加速,65→74→79,15.5
4906,正文,TWSE,60,加速,51→56→60,6.1
1101,台泥,TWSE,7,維持,44→45→44,-0.4
4927,泰鼎-KY,TWSE,54,加速,43→51→59,12.8
1326,台化,TWSE,17,維持,39→43→43,1.4
3028,增你強,TWSE,71,維持,74→71→68,0.6
6412,群電,TWSE,24,加速,63→66→70,9.0
1795,美時,TWSE,1,維持,32→38→40,6.3
4540,全球傳動,TWSE,52,維持,57→59→63,0.1
2371,大同,TWSE,3,維持,29→34→45,3.9
2359,所羅門,TWSE,23,轉弱,55→60→65,4.4
8163,達方,TWSE,31,加速,71→78→78,8.5
2352,佳世達,TWSE,25,加速,59→66→72,14.8
6672,騰輝電子-KY,TWSE,84,維持,44→46→55,7.8
2495,普安,TWSE,49,加速,48→57→64,23.6
6215,和椿,TWSE,33,加速,58→61→67,8.9
8464,億豐,TWSE,3,維持,31→38→37,-0.2
9904,寶成,TWSE,4,維持,34→38→38,-1.1
3576,聯合再生,TWSE,15,轉弱,50→50→53,-5.2
2542,興富發,TWSE,29,轉弱,71→70→66,-1.1
9105,泰金寶-DR,TWSE,27,加速,46→62→72,21.0
7749,意騰-KY,TWSE,42,加速,53→60→65,12.9
3059,華晶科,TWSE,23,加速,62→65→66,3.4
